symbol,name,industry_priority,industry_custom_id
A32,A32,1.0,det-may
AAA,AAA,1.0,nhua
AAM,AAM,1.0,thuy-san
AAS,AAS,1.0,chung-khoan
AAT,AAT,1.0,det-may
AAV,AAV,1.0,bds
ABB,ABB,1.0,ngan-hang
ABC,ABC,1.0,vien-thong
ABI,ABI,1.0,bao-hiem
ABR,ABR,1.0,cong-nghe
ABS,ABS,1.0,hoa-chat
ABT,ABT,1.0,thuy-san
ABW,ABW,1.0,chung-khoan
ACB,ACB,1.0,ngan-hang
ACC,ACC,1.0,vlxd
ACE,ACE,1.0,vlxd
ACG,ACG,1.0,go
ACL,ACL,1.0,thuy-san
ACM,ACM,1.0,cong-nghiep
ACS,ACS,1.0,xay-dung
ACV,ACV,1.0,hang-khong
ADC,ADC,1.0,truyen-thong
ADG,ADG,1.0,truyen-thong
ADP,ADP,1.0,vlxd
ADS,ADS,1.0,det-may
AFX,AFX,1.0,thuc-pham
AG1,AG1,1.0,det-may
AGF,AGF,1.0,thuy-san
AGG,AGG,1.0,bds-nha-o
AGM,AGM,1.0,thuc-pham
AGP,AGP,1.0,y-te
AGR,AGR,1.0,chung-khoan
AGX,AGX,1.0,thuc-pham
AIC,AIC,1.0,bao-hiem
ALT,ALT,1.0,truyen-thong
ALV,ALV,1.0,xay-dung
AMC,AMC,1.0,cong-nghiep
AMD,FLC Stone Mining and Investment Joint Stock Company,1.0,bds
AME,AME,1.0,dien
AMP,AMP,1.0,y-te
AMS,AMS,1.0,cong-nghiep
AMV,AMV,1.0,y-te
ANT,ANT,1.0,thuc-pham
ANV,ANV,1.0,thuy-san
APC,APC,1.0,cong-nghe
APF,APF,1.0,thuc-pham
APG,APG,1.0,chung-khoan
APH,APH,1.0,nhua
API,API,1.0,chung-khoan
APL,APL,1.0,nong-nghiep
APP,APP,1.0,hoa-chat
APS,APS,1.0,chung-khoan
APT,APT,1.0,thuy-san
ARM,ARM,1.0,cong-nghiep
ART,BOS Securities Joint Stock Company,1.0,chung-khoan
ASA,ASA Joint Stock Company,1.0,ngan-hang-tu-nhan
ASG,ASG,1.0,van-tai
ASM,ASM,1.0,thuy-san
ASP,ASP,1.0,dau-khi
AST,AST,1.0,hang-khong
ATA,ATA,1.0,thuy-san
ATB,ATB,1.0,xay-dung
ATG,ATG,1.0,cong-nghiep
ATS,ATS,1.0,ban-le
AVC,AVC,1.0,dien
AVF,AVF,1.0,thuy-san
BAB,BAB,1.0,ngan-hang
BAF,BAF,1.0,nong-nghiep
BAL,BAL,1.0,vlxd
BAX,BAX,1.0,xay-dung
BBC,BBC,1.0,thuc-pham
BBH,BBH,1.0,vlxd
BBM,BBM,1.0,hang-tieu-dung
BBS,BBS,1.0,vlxd
BBT,BBT,1.0,ngan-hang-tu-nhan
BCA,BCA,1.0,thep
BCB,BCB,1.0,khac
BCC,BCC,1.0,vlxd
BCE,BCE,1.0,xay-dung
BCF,BCF,1.0,thuc-pham
BCG,BCG,1.0,xay-dung
BCM,BCM,1.0,bds-kcn
BCP,BCP,1.0,y-te
BCV,Vimico - Cao Bang Bang Giang Travel And Trading Joint Stock Company,1.0,khac
BDB,BDB,1.0,truyen-thong
BDG,BDG,1.0,det-may
BDT,BDT,1.0,vlxd
BDW,BDW,1.0,ngan-hang-nha-nuoc
BED,BED,1.0,truyen-thong
BEL,BEL,1.0,dien
BFC,BFC,1.0,hoa-chat
BGW,BGW,1.0,ngan-hang-nha-nuoc
BHA,BHA,1.0,dien
BHC,BHC,1.0,vlxd
BHG,BHG,1.0,hang-tieu-dung
BHI,BHI,1.0,bao-hiem
BHK,BHK,1.0,hang-tieu-dung
BHN,BHN,1.0,hang-tieu-dung
BHP,BHP,1.0,hang-tieu-dung
BIC,BIC,1.0,bao-hiem
BID,BID,1.0,ngan-hang
BIG,BIG,1.0,bds
BII,BII,1.0,bds
BIO,BIO,1.0,y-te
BKC,BKC,1.0,cong-nghiep
BKG,BKG,1.0,hang-tieu-dung
BLF,BLF,1.0,thuy-san
BLI,BLI,1.0,bao-hiem
BLN,BLN,1.0,van-tai
BLT,BLT,1.0,thuc-pham
BMC,BMC,1.0,cong-nghiep
BMD,BMD,1.0,nuoc
BMF,BMF,1.0,dau-khi
BMG,BMG,1.0,det-may
BMI,BMI,1.0,bao-hiem
BMJ,BMJ,1.0,cong-nghiep
BMP,BMP,1.0,nhua
BMS,BMS,1.0,chung-khoan
BMV,BMV,1.0,thuc-pham
BNA,BNA,1.0,thuc-pham
BNW,BNW,1.0,ngan-hang-nha-nuoc
BOT,BOT,1.0,xay-dung
BPC,BPC,1.0,vlxd
BQB,BQB,1.0,hang-tieu-dung
BRC,BRC,1.0,nhua
BRR,BRR,1.0,nhua
BRS,BRS,1.0,nuoc
BSA,BSA,1.0,dien
BSC,BSC,1.0,bds
BSD,BSD,1.0,hang-tieu-dung
BSG,BSG,1.0,van-tai
BSH,BSH,1.0,hang-tieu-dung
BSI,BSI,1.0,chung-khoan
BSL,BSL,1.0,hang-tieu-dung
BSP,BSP,1.0,hang-tieu-dung
BSQ,BSQ,1.0,hang-tieu-dung
BSR,BSR,1.0,dau-khi
BST,BST,1.0,truyen-thong
BT1,BT1,1.0,hoa-chat
BT6,BT6,1.0,vlxd
BTB,BTB,1.0,hang-tieu-dung
BTD,BTD,1.0,vlxd
BTG,BTG,1.0,vlxd
BTH,BTH,1.0,dien
BTN,BTN,1.0,vlxd
BTP,BTP,1.0,dien
BTS,BTS,1.0,vlxd
BTT,BTT,1.0,ban-le
BTU,BTU,1.0,nuoc
BTV,BTV,1.0,van-tai
BTW,BTW,1.0,ngan-hang-nha-nuoc
BVB,BVB,1.0,ngan-hang
BVG,BVG,1.0,thep
BVH,BVH,1.0,bao-hiem
BVL,BVL,1.0,bds
BVN,BVN,1.0,ngan-hang-tu-nhan
BVS,BVS,1.0,chung-khoan
BWA,BWA,1.0,ngan-hang-nha-nuoc
BWE,BWE,1.0,nuoc
BWS,BWS,1.0,ngan-hang-nha-nuoc
BXH,BXH,1.0,vlxd
C12,C12,,
C21,C21,1.0,bds
C22,C22,1.0,thuc-pham
C32,C32,1.0,xay-dung
C47,C47,1.0,xay-dung
C4G,C4G,1.0,dau-tu-cong
C69,C69,1.0,xay-dung
C92,C92,1.0,xay-dung
CAD,CAD,1.0,thuy-san
CAG,CAG,1.0,van-tai
CAN,CAN,1.0,thuc-pham
CAP,CAP,1.0,cong-nghiep
CAR,CAR,1.0,cong-nghe
CAT,CAT,1.0,thuy-san
CBI,CBI,1.0,thep
CBS,CBS,,
CC1,CC1,1.0,xay-dung
CCA,CCA,1.0,thuy-san
CCI,CCI,1.0,dau-khi
CCL,CCL,1.0,bds
CCM,CCM,1.0,vlxd
CCP,CCP,1.0,van-tai
CCR,CCR,1.0,van-tai
CCT,CCT,1.0,van-tai
CCV,CCV,1.0,xay-dung
CDC,CDC,1.0,xay-dung
CDG,CDG,1.0,vlxd
CDH,CDH,1.0,nuoc
CDN,CDN,1.0,van-tai
CDO,CDO,1.0,xay-dung
CDP,CDP,1.0,y-te
CDR,CDR,1.0,xay-dung
CEN,CEN,1.0,ban-le
CEO,CEO,1.0,bds-nha-o
CET,CET,1.0,ngan-hang-tu-nhan
CFM,CFM,1.0,cong-nghe
CFV,CFV,1.0,hang-tieu-dung
CGV,CGV,1.0,vlxd
CH5,CH5,1.0,xay-dung
CHC,CHC,1.0,vlxd
CHP,CHP,1.0,dien
CHS,CHS,1.0,khac
CI5,CI5,1.0,xay-dung
CIA,CIA,1.0,van-tai
CID,CID,1.0,xay-dung
CIG,CIG,1.0,bds
CII,CII,1.0,xay-dung
CIP,CIP,1.0,xay-dung
CJC,Central Area Electrical Mechanical Joint Stock Company,1.0,dien
CK8,CK8,1.0,bds
CKA,CKA,1.0,nong-nghiep
CKD,CKD,1.0,nong-nghiep
CKG,CKG,1.0,xay-dung
CKV,CKV,1.0,vien-thong
CLC,CLC,1.0,hang-tieu-dung
CLG,CLG,1.0,bds
CLH,CLH,1.0,vlxd
CLL,CLL,1.0,van-tai
CLM,CLM,1.0,khac
CLW,CLW,1.0,ngan-hang-nha-nuoc
CLX,CLX,1.0,ban-le
CMC,CMC,1.0,nong-nghiep
CMD,CMD,1.0,vlxd
CMF,CMF,1.0,thuc-pham
CMG,CMG,1.0,cong-nghe
CMI,CMI,1.0,vlxd
CMK,Mao Khe - Vinacomin Mechanical Joint Stock Company,1.0,nong-nghiep
CMM,CMM,1.0,thuc-pham
CMN,CMN,1.0,thuc-pham
CMP,ChanMay Port Joint Stock Company,1.0,van-tai
CMS,CMS,1.0,xay-dung
CMT,CMT,1.0,cntt
CMV,CMV,1.0,ban-le
CMW,CMW,1.0,ngan-hang-nha-nuoc
CMX,CMX,1.0,thuy-san
CNA,Nghe An Tea Corporation Joint Stock Company,1.0,thuy-san
CNC,CNC,1.0,y-te
CNG,CNG,1.0,dau-khi
CNN,CNN,1.0,xay-dung
CNT,CNT,1.0,xay-dung
COM,COM,1.0,ban-le
CPA,CPA,1.0,hang-tieu-dung
CPC,CPC,1.0,hoa-chat
CPH,Haiphong Funeral Services Joint Stock Company,1.0,ban-le
CPI,CPI,1.0,van-tai
CQN,CQN,1.0,van-tai
CQT,CQT,1.0,vlxd
CRC,CRC,1.0,vlxd
CRE,CRE,1.0,bds
